id,component,section,item,no,cn,en,nl
HCC_00_home-hero-li-2,HCC_00_home,hero,li,2,提供中欧两地的商业机遇与合作伙伴甄选,Business opportunities and partner selection in China and Europe,Zakelijke kansen en partnerselectie in China en Europa
HCC_00_home-hero-li-3,HCC_00_home,hero,li,3,市场洞察与策略咨询,Market insights and strategic consulting,Marktinzichten en strategisch advies
HCC_00_home-hero-li-4,HCC_00_home,hero,li,4,跨文化、跨语言的企业培训服务,Cross-cultural and cross-linguistic corporate training,Cross-culturele en taalkundige bedrijfstraining
HCC_00_home-hero-li-5,HCC_00_home,hero,li,5,提供中欧两地的公关活动组织服务,PR and event organization in China and Europe,PR- en evenementenorganisatie in China en Europa
HCC_00_home-hero-li-6,HCC_00_home,hero,li,6,物业管理及外派人员的相关服务,Property management and expatriate support services,Vastgoedbeheer en expat-ondersteuningsdiensten
HCC_00_home-hero-li-7,HCC_00_home,hero,li,7,支持采购与产品研发,Support for procurement and product development,Ondersteuning bij inkoop en productontwikkeling
HCC_01_about-main-desc-1,HCC_01_about,main,desc,1,HollandChina Consulting（荷中咨询）协助中国与欧洲的企业和机构建立联系、发掘商机、设定战略投资目标、并筛选合作伙伴，积极促进中欧双边投资与贸易的发展。我们提供业务设立与拓展的专业咨询、量身定制的跨文化和跨语言企业培训，以及在中欧两地举办各类大型论坛、研讨会、展会及商业活动，为跨国企业提供全方位的高端优质跨境顾问服务。,"HollandChina Consulting (HCC) assists Chinese and European companies and institutions in establishing connections, discovering business opportunities, setting strategic investment goals, and selecting partners. We actively promote bilateral investment and trade development. We provide professional consulting for business setup and expansion, tailored cross-cultural and cross-linguistic corporate training, and organize various large-scale forums, seminars, exhibitions, and business events in China and Europe, offering comprehensive high-end cross-border consulting services.","HollandChina Consulting (HCC) helpt Chinese en Europese bedrijven en instellingen bij het leggen van contacten, het ontdekken van zakelijke kansen, het bepalen van strategische investeringsdoelen en het selecteren van partners. Wij bevorderen actief bilaterale investeringen en handel. Wij bieden professionele consultancy voor bedrijfsopzet en uitbreiding, op maat gemaakte cross-culturele en taalkundige bedrijfstrainingen en organiseren diverse grootschalige forums, seminars, tentoonstellingen en zakelijke evenementen in China en Europa, en bieden een volledige hoogwaardige grensoverschrijdende adviesservice."
HCC_01_about-main-desc-2,HCC_01_about,main,desc,2,成功的背后是风险与机遇的并存。许多中国企业和机构在欧洲的商业计划因水土不服而失败；很多欧洲和荷兰的企业与机构因准备不足而失意中国市场。只有借助精准高效的专业帮助，才能做出明智的选择，成为企业价值创造的来源。,Success involves both risk and opportunity. Many Chinese companies fail in Europe due to cultural mismatch; many European and Dutch companies fail in China due to lack of preparation. Only with precise professional assistance can wise choices be made and create value.,Succes omvat zowel risico als kans. Veel Chinese bedrijven falen in Europa door culturele mismatch; veel Europese en Nederlandse bedrijven falen in China door gebrek aan voorbereiding. Alleen met nauwkeurige professionele ondersteuning kunnen verstandige keuzes worden gemaakt en waarde gecreëerd.
HCC_01_about-principle-header-1,HCC_01_about,principle,header,1,精准（accurate）,Accurate / Precision,Accuraat / Precisie
HCC_01_about-principle-header-2,HCC_01_about,principle,header,2,直接（direct）,Direct,Direct
HCC_01_about-principle-header-3,HCC_01_about,principle,header,3,忠诚（fidelity）,Fidelity,Fidelity
HCC_01_about-principle-header-4,HCC_01_about,principle,header,4,理念（concepts）,Concepts,Concepts
HCC_01_about-principle-header-5,HCC_01_about,principle,header,5,专业（expertise）,Expertise,Expertise
HCC_01_about-principle-li-1_1,HCC_01_about,principle,li,1_1,充分了解企业需求和市场趋势，结合企业自身资源与实力，优化商业流程，提高效率，抢占市场先机。,"Understand business needs and market trends, optimize processes, improve efficiency, seize market opportunities.","Begrijp bedrijfsbehoeften en markttrends, optimaliseer processen, verbeter efficiëntie, grijp marktkansen."
HCC_01_about-principle-li-1_2,HCC_01_about,principle,li,1_2,帮助企业更好的应对风险、抓住机遇，开拓新局面。,Help companies respond to risks and seize opportunities,"Help bedrijven om te reageren op risico's, kansen te grijpen en nieuwe mogelijkheden te openen."
HCC_01_about-principle-li-1_3,HCC_01_about,principle,li,1_3,提供有针对性并有价值的潜在商业伙伴，节省时间，直接与值得打交道的人合作。,Provide targeted and valuable potential business partners to save time.,Bied gerichte en waardevolle potentiële zakenpartners om tijd te besparen.
HCC_01_about-principle-li-2_1,HCC_01_about,principle,li,2_1,无论客户身处何地，我们都能帮助他们与中国或欧洲的合作伙伴直接联络。,"Regardless of client location, we connect them directly with partners",无论客户身处何地，直接联络合作伙伴
HCC_01_about-principle-li-2_2,HCC_01_about,principle,li,2_2,协助客户筛选甄别，直接与值得打交道的人沟通，快速识别客户的需求与意向，并提供相应的解决方案。,Assist clients in partner screening and provide solutions,协助客户筛选甄别并提供解决方案
HCC_01_about-principle-li-3_1,HCC_01_about,principle,li,3_1,HollandChina Consulting 荷中咨询只从客户一方获取佣金，规避其他途径的获益，只对客户负责，实现客户权益的全面保障。,"HCC only charges clients, avoids other revenue streams, ensures full client protection",HCC仅向客户收取费用，保障客户权益
HCC_01_about-principle-li-4_1,HCC_01_about,principle,li,4_1,少说，多做。,"Say less, do more",少说，多做
HCC_01_about-principle-li-5_1,HCC_01_about,principle,li,5_1,在欧盟这个巨大的市场中，我们深知聚焦自身擅长的领域不仅是实现长期成功的起点，也是客户选择我们的基础。,Focus on strengths in the EU market for long-term success,专注于擅长领域，实现长期成功
HCC_01_about-principle-li-5_2,HCC_01_about,principle,li,5_2,坚持对自身能力的清晰认知，不超越能力所及去冒险，在最擅长的领域保持冷静与专注，为客户提供最明确的答复以及量身定制的服务。,"Maintain focus and provide clear, tailored solutions",保持专注，提供清晰定制服务
HCC_02_news-section-li-1,HCC_02_news,section,li,1,发布公司的最新新闻和公告,Publish the latest company news,发布公司最新新闻
HCC_02_news-section-li-2,HCC_02_news,section,li,2,展示公司在其他媒体上的报道和采访,Show media coverage of the company,展示媒体报道
HCC_02_news-section-title-latest_news,HCC_02_news,section,title,latest_news,新闻发布 (Press Releases),Press Releases,新闻发布
HCC_04_services-main-desc-1,HCC_04_services,main,desc,1,我们的服务：HollandChina Consulting 荷中咨询致力于促进中国与荷兰及欧盟国家之间的项目合作，通过提供全面的专业服务，确保您的跨国业务取得成功。,Our services: HCC promotes China-EU cooperation with full professional support,我们的服务：HCC推动中欧合作，提供专业支持
HCC_04_services-main-desc-2,HCC_04_services,main,desc,2,我们的服务内容包括：,Service offerings include:,服务内容包括
HCC_04_services-service-header-1,HCC_04_services,service,header,1,优质的跨境顾问服务,High-end cross-border consulting,优质跨境顾问服务
HCC_04_services-service-header-2,HCC_04_services,service,header,2,商业机遇与合作伙伴甄选,Business opportunities and partner selection,商业机遇与合作伙伴甄选
HCC_04_services-service-header-3,HCC_04_services,service,header,3,市场洞察与策略咨询,Market insights and strategy consulting,市场洞察与策略咨询
HCC_04_services-service-header-4,HCC_04_services,service,header,4,跨文化、跨语言的企业培训服务,Cross-cultural and language corporate training,跨文化、跨语言企业培训服务
HCC_04_services-service-header-5,HCC_04_services,service,header,5,提供中欧两地的公关活动组织服务,PR events organization in China and Europe,提供中欧两地的公关活动组织服务
HCC_04_services-service-header-6,HCC_04_services,service,header,6,物业管理及外派人员的相关服务,Property management and expatriate support,物业管理及外派人员的相关服务
HCC_04_services-service-li-1_1,HCC_04_services,service,li,1_1,业务流程分析与优化,Process analysis and optimization,业务流程分析与优化
HCC_04_services-service-li-1_2,HCC_04_services,service,li,1_2,项目管理与质量监督,Project management and quality supervision,项目管理与质量监督
HCC_04_services-service-li-1_3,HCC_04_services,service,li,1_3,法律与合规咨询,Legal and compliance consulting,法律与合规咨询
HCC_04_services-service-li-1_4,HCC_04_services,service,li,1_4,跨境税务筹划,Cross-border tax planning,跨境税务筹划
HCC_04_services-service-li-1_5,HCC_04_services,service,li,1_5,知识产权保护,Intellectual property protection,知识产权保护
HCC_04_services-service-li-2_1,HCC_04_services,service,li,2_1,潜在合作伙伴识别与评估,Potential partner identification and evaluation,潜在合作伙伴识别与评估
HCC_04_services-service-li-2_2,HCC_04_services,service,li,2_2,商务谈判与协议签订支持,Support for business negotiations and agreements,商务谈判与协议签订支持
HCC_04_services-service-li-2_3,HCC_04_services,service,li,2_3,合资企业与战略联盟咨询,Joint ventures and strategic alliance consulting,合资企业与战略联盟咨询
HCC_04_services-service-li-3_1,HCC_04_services,service,li,3_1,市场调研与分析,Market research and analysis,市场调研与分析
HCC_04_services-service-li-3_2,HCC_04_services,service,li,3_2,企业背景调查,Company background checks,企业背景调查
HCC_04_services-service-li-3_3,HCC_04_services,service,li,3_3,竞争对手研究,Competitor research,竞争对手研究
HCC_04_services-service-li-3_4,HCC_04_services,service,li,3_4,消费者行为分析,Consumer behavior analysis,消费者行为分析
HCC_04_services-service-li-3_5,HCC_04_services,service,li,3_5,市场进入策略制定,Market entry strategy formulation,市场进入策略制定
HCC_04_services-service-li-4_1,HCC_04_services,service,li,4_1,跨文化管理与沟通技巧,Cross-cultural management and communication skills,跨文化管理与沟通技巧
HCC_04_services-service-li-4_2,HCC_04_services,service,li,4_2,商务荷中文专业用语培训,Business Dutch-Chinese professional language training,商务荷中文专业用语培训
HCC_04_services-service-li-4_3,HCC_04_services,service,li,4_3,中欧市场及商业环境介绍,Introduction to China-EU market and business environment,中欧市场及商业环境介绍
HCC_05_partners-partner--1,HCC_05_partners,partner,,1,DAF Trucks,DAF Trucks,DAF Trucks
HCC_05_partners-partner--2,HCC_05_partners,partner,,2,Giesecke & Devrient Currency Automation Systems,Giesecke & Devrient Currency Automation Systems,Giesecke & Devrient Currency Automation Systems
HCC_05_partners-partner--3,HCC_05_partners,partner,,3,Fugro,Fugro,Fugro
HCC_05_partners-partner--4,HCC_05_partners,partner,,4,Henkel,Henkel,Henkel
HCC_05_partners-partner--5,HCC_05_partners,partner,,5,Dutch Ministry of Foreign Affairs,Nederlands Ministerie van Buitenlandse Zaken,荷兰外交部
HCC_05_partners-partner--6,HCC_05_partners,partner,,6,Dutch Ministry of Economic Affairs,Nederlands Ministerie van Economische Zaken,荷兰经济事务部
HCC_05_partners-partner--7,HCC_05_partners,partner,,7,Chinese Ministry of Agriculture,Chinese Ministerie van Landbouw,中国农业部
HCC_05_partners-partner--8,HCC_05_partners,partner,,8,World Bank,Wereldbank,世界银行
HCC_05_partners-partner--9,HCC_05_partners,partner,,9,World Wildlife Fund (WWF),World Wildlife Fund (WWF),世界自然基金会
HCC_05_partners-partner--10,HCC_05_partners,partner,,10,NOS,NOS,荷兰国家媒体集团
HCC_05_partners-partner--11,HCC_05_partners,partner,,11,China National Media Group,China National Media Group,中国国家媒体集团
HCC_05_partners-partner--12,HCC_05_partners,partner,,12,Royal IGC,Royal IGC,Royal IGC
HCC_05_partners-partner--13,HCC_05_partners,partner,,13,Huawei,Huawei,Huawei
HCC_05_partners-partner--14,HCC_05_partners,partner,,14,Tencent,Tencent,Tencent
HCC_05_partners-partner--15,HCC_05_partners,partner,,15,MG Motor Europe,MG Motor Europe,MG Motor Europe
HCC_05_partners-partner--16,HCC_05_partners,partner,,16,ICBC,ICBC,中国工商银行
HCC_05_partners-partner--17,HCC_05_partners,partner,,17,Bank of China,Bank of China,中国银行
HCC_05_partners-partner--18,HCC_05_partners,partner,,18,CCIC (China Certification & Inspection Group),CCIC (China Certification & Inspection Group),CCIC(中检集团)
HCC_05_partners-partner--19,HCC_05_partners,partner,,19,China Mobile,China Mobile,中国移动
HCC_05_partners-partner--20,HCC_05_partners,partner,,20,North Sea Jazz,North Sea Jazz,North Sea Jazz
HCC_05_partners-partner--21,HCC_05_partners,partner,,21,Rituals,Rituals,Rituals
HCC_05_partners-partner--22,HCC_05_partners,partner,,22,Wageningen University,Wageningen University,Wageningen University
HCC_05_partners-partner--23,HCC_05_partners,partner,,23,LOI,LOI,LOI
HCC_05_partners-partner--24,HCC_05_partners,partner,,24,Zhongyan,Zhongyan,中演
HCC_05_partners-partner--25,HCC_05_partners,partner,,25,Shanghai International Arts Festival,Shanghai International Arts Festival,上海国际艺术节
HCC_05_partners-partner--26,HCC_05_partners,partner,,26,Släpstiks,Släpstiks,Släpstiks
HCC_05_partners-partner--27,HCC_05_partners,partner,,27,Kasteel de Wittenburg,Kasteel de Wittenburg,Kasteel de Wittenburg
HCC_05_partners-partner--28,HCC_05_partners,partner,,28,Muziekgebouw ‘IJ,Muziekgebouw ‘IJ,Muziekgebouw ‘IJ
SEAN_00_home-hero-header-,SEAN_00_home,hero,header,,"Connecting Eurasia, Creating the Future","Verbinden van Eurazië, Samen de toekomst creëren",连接欧亚，共创未来。
SEAN_00_home-hero-li-1,SEAN_00_home,hero,li,1,SEAN搭建欧洲与亚洲之间的桥梁，促进商业、文化和教育领域的合作,"SEAN builds bridges between Europe and Asia, promoting collaboration across business, culture, and education",SEAN搭建欧洲与亚洲之间的桥梁，促进商业、文化和教育领域的合作
SEAN_00_home-hero-li-2,SEAN_00_home,hero,li,2,我们组织国际活动、论坛和文化活动以增强双边关系,"We organize international events, forums, and cultural activities to strengthen bilateral relationships",我们组织国际活动、论坛和文化活动以增强双边关系
SEAN_01_about-main-desc-1,SEAN_01_about,main,desc,1,欧亚网络基金会（SEAN）是一家总部设于荷兰的非营利机构。它搭建欧洲与亚洲之间的沟通与合作桥梁，促进跨文化理解，并推动在商业、文化、教育及公共外交领域的重要项目,"The Stichting Europe-Asia Network (SEAN) is a non-profit organization based in the Netherlands. It builds communication and collaboration bridges between Europe and Asia, promoting cross-cultural understanding and facilitating meaningful projects in business, culture, education, and public diplomacy.",欧亚网络基金会（SEAN）是一家总部设于荷兰的非营利机构。它搭建欧洲与亚洲之间的沟通与合作桥梁，促进跨文化理解，并推动在商业、文化、教育及公共外交领域的重要项目
SEAN_01_about-main-desc-2,SEAN_01_about,main,desc,2,SEAN组织具有国际影响力的活动，包括商业论坛、文化演出、展览和教育交流，作为欧亚合作的桥梁和催化器,"SEAN organizes high-impact international events including business forums, cultural performances, exhibitions, and educational exchanges, acting as a bridge and catalyst for collaboration between Europe and Asia.",SEAN组织具有国际影响力的活动，包括商业论坛、文化演出、展览和教育交流，作为欧亚合作的桥梁和催化器
SEAN_01_about-main-desc-3,SEAN_01_about,main,desc,3,我们的核心价值观为诚信、专业、创新与协作，SEAN确保国际合作建立在尊重、理解、开放对话及长期信任的基础上,"Our core values are integrity, professionalism, innovation, and collaboration. SEAN ensures international cooperation is built on respect, understanding, open dialogue, and long-term trust accumulation.",我们的核心价值观为诚信、专业、创新与协作，SEAN确保国际合作建立在尊重、理解、开放对话及长期信任的基础上
SEAN_01_about-team-member_name-1,SEAN_01_about,team,member_name,1,Xiaojia Xu,Xiaojia Xu,Xu Xiaojia
SEAN_01_about-team-member_name-2,SEAN_01_about,team,member_name,2,Cees Caro,Cees Caro,Cees Caro
SEAN_01_about-team-member_name-3,SEAN_01_about,team,member_name,3,Adam Diels,Adam Diels,Adam Diels
SEAN_01_about-team-member_name-4,SEAN_01_about,team,member_name,4,Jasmine Chang-Howe,Jasmine Chang-Howe,Jasmine Chang-Howe
SEAN_01_about-team-member_name-5,SEAN_01_about,team,member_name,5,Ryo Hoshikawa,Ryo Hoshikawa,Ryo Hoshikawa
,,,,,,,
SEAN_01_about-team-member_role-1,SEAN_01_about,team,member_role,1,"Chair, Founder","Chair, Founder",主席、创始人
SEAN_01_about-team-member_role-2,SEAN_01_about,team,member_role,2,Vice-Chair,Vice-Chair,副主席
SEAN_01_about-team-member_role-3,SEAN_01_about,team,member_role,3,Board Member,Board Member,董事
SEAN_01_about-team-member_role-4,SEAN_01_about,team,member_role,4,Board Member,Board Member,董事
SEAN_01_about-team-member_role-5,SEAN_01_about,team,member_role,5,Asia Board Member,Asia Board Member,亚洲区董事
,,,,,,,
SEAN_01_about-team-member_desc-1,SEAN_01_about,team,member_desc,1,跨行业商业、公共关系及文化艺术领袖；荷兰皇家工业俱乐部首位亚洲成员及亚洲委员会主席；国际知名古典音乐家。,"Cross-industry leader in business, PR, and cultural arts; first Asian member and Chair of the Asia Committee at the Royal Dutch Industrial Club; internationally renowned classical musician.",跨行业商业、公共关系及文化艺术领袖；荷兰皇家工业俱乐部首位亚洲成员及亚洲委员会主席；国际知名古典音乐家。
SEAN_01_about-team-member_desc-2,SEAN_01_about,team,member_desc,2,国际项目实施经验丰富，专长于经济、金融及信息技术。,"Experienced leader in international project implementation, specialized in economics, finance, and IT.",国际项目实施经验丰富，专长于经济、金融及信息技术。
SEAN_01_about-team-member_desc-3,SEAN_01_about,team,member_desc,3,Evaert律师事务所合伙人；前荷兰首相首席译员；古典吉他演奏家。,Partner at Evaert Advocaten; former chief translator for Dutch Prime Minister; classical guitarist.,Evaert律师事务所合伙人；前荷兰首相首席译员；古典吉他演奏家。
SEAN_01_about-team-member_desc-4,SEAN_01_about,team,member_desc,4,博士，阿姆斯特丹自由大学；MAX HRM创始人兼CEO；推动中荷商业合作。,"PhD, Vrije Universiteit Amsterdam; founder and CEO of MAX HRM; promotes China-Netherlands business cooperation.",博士，阿姆斯特丹自由大学；MAX HRM创始人兼CEO；推动中荷商业合作。
SEAN_01_about-team-member_desc-5,SEAN_01_about,team,member_desc,5,在法律、国际贸易、高科技及文化产业方面经验丰富；负责跨境业务发展与项目。,"Experienced in law, international trade, high-tech, and cultural industries; leads cross-border business development and projects.",在法律、国际贸易、高科技及文化产业方面经验丰富；负责跨境业务发展与项目。
,,,,,,,
SEAN_03_events-section-li-1,SEAN_03_events,section,li,1,展示即将举办的活动和项目,"Show upcoming events, projects, forums, exhibitions, and visits",展示即将举办的活动和项目
SEAN_03_events-section-li-2,SEAN_03_events,section,li,2,展示已举办项目及成果,Show past projects and cooperation results,展示已举办项目及成果
SEAN_03_events-section-title-past_events,SEAN_03_events,section,title,past_events,往期活动,Past events,往期活动
SEAN_03_events-section-title-upcoming_events,SEAN_03_events,section,title,upcoming_events,活动预告,Upcoming events,活动预告
,,,,,,,
SEAN_04_services-list-item-1,SEAN_04_services,list,item,1,在欧洲和亚洲组织商业网络与合作活动,Business networking and collaboration events in Europe and Asia,在欧洲和亚洲组织商业网络与合作活动
SEAN_04_services-list-item-2,SEAN_04_services,list,item,2,组织代表团商务考察，提供市场洞察与战略支持,Delegation business visits to provide market insights and strategic support,组织代表团商务考察，提供市场洞察与战略支持
SEAN_04_services-list-item-3,SEAN_04_services,list,item,3,寻找和匹配商业合作伙伴，推动战略联盟,Partner matching and strategic alliance facilitation,寻找和匹配商业合作伙伴，推动战略联盟
SEAN_04_services-list-item-4,SEAN_04_services,list,item,4,文化和教育交流活动，包括艺术、音乐和教育项目,"Cultural and educational exchange activities, including arts, music, and education programs",文化和教育交流活动，包括艺术、音乐和教育项目
,,,,,,,
SEAN_05_services-main-desc-1,SEAN_05_services,main,desc,1,商务企业活动,Business corporate activities,商务企业活动
SEAN_05_services-main-desc-2,SEAN_05_services,main,desc,2,SEAN致力于推动企业在欧亚市场合作与交流,The SEAN foundation promotes corporate cooperation and exchange in the Eurasian market through targeted activities,SEAN致力于推动企业在欧亚市场合作与交流
SEAN_05_services-service-header-1,SEAN_05_services,service,header,1,创建商业网络,Create business networks,创建商业网络
SEAN_05_services-service-header-2,SEAN_05_services,service,header,2,组织商务活动,Organize business activities,组织商务活动
SEAN_05_services-service-header-3,SEAN_05_services,service,header,3,组织代表团商务考察,Organize business delegation visits,组织代表团商务考察
SEAN_05_services-service-header-4,SEAN_05_services,service,header,4,商务合作伙伴匹配,Match business partners,商务合作伙伴匹配
SEAN_05_services-service-header-5,SEAN_05_services,service,header,5,文化教育交流活动,Cultural and educational exchange activities,文化教育交流活动
SEAN_05_services-service-li-1_1,SEAN_05_services,service,li,1_1,搭建跨欧亚的商业网络，促进企业间的合作与交流，推动商业机会的发掘与共享,Build cross-Eurasian business networks to promote cooperation and share opportunities,搭建跨欧亚的商业网络，促进企业间合作与机会共享
SEAN_05_services-service-li-2_1,SEAN_05_services,service,li,2_1,策划并执行各类商务活动，包括研讨会、论坛和展览等，促进企业之间的互动与合作,"Plan and execute seminars, forums, and exhibitions to promote corporate interaction",策划并执行各类商务活动，促进企业之间互动与合作
SEAN_05_services-service-li-3_1,SEAN_05_services,service,li,3_1,安排企业代表团前往欧洲和亚洲进行实地考察，直观了解目标市场的环境动态和商业潜力,Arrange company delegations to visit Europe and Asia for on-site market insights,安排企业代表团前往欧洲和亚洲实地考察，了解市场动态及商业潜力
SEAN_05_services-service-li-4_1,SEAN_05_services,service,li,4_1,为企业寻找和匹配最合适的商业合作伙伴，推动双方合作共赢，降低商业风险，提高合作效率,Find and match the most suitable business partners to ensure win-win cooperation and reduce risks,为企业匹配最合适的商业合作伙伴，推动合作共赢，降低商业风险
SEAN_05_services-service-li-5_1,SEAN_05_services,service,li,5_1,组织和支持各类文艺活动，包括艺术展览、音乐会和戏剧表演等，促进欧亚文化的交流与融合,"Organize and support art exhibitions, concerts, and theater performances to promote Eurasian cultural exchange",组织和支持各类艺术展览、音乐会及戏剧表演，促进欧亚文化交流
SEAN_05_services-service-li-5_2,SEAN_05_services,service,li,5_2,策划并举办跨文化活动，增进不同文化背景的个人和机构之间的理解与合作,Plan and hold cross-cultural events to improve understanding and cooperation between individuals and organizations,策划并举办跨文化活动，增进不同文化背景人员与机构之间的理解与合作
SEAN_05_services-service-li-5_3,SEAN_05_services,service,li,5_3,推动与教育相关的活动，如学术会议、研讨会和教育项目，促进欧亚之间的教育合作与交流,Promote education-related activities such as conferences and workshops to enhance Eurasian educational cooperation,推动教育相关活动，如学术会议、研讨会及教育项目，促进欧亚教育合作与交流
,,,,,,,
SEAN_06_partners-partner--1,SEAN_06_partners,partner,,1,荷兰外交部,Dutch Ministry of Foreign Affairs,荷兰外交部
SEAN_06_partners-partner--2,SEAN_06_partners,partner,,2,荷兰经济事务部,Dutch Ministry of Economic Affairs,荷兰经济事务部
SEAN_06_partners-partner--3,SEAN_06_partners,partner,,3,中国驻荷兰大使馆,Chinese Embassy in the Netherlands,中国驻荷兰大使馆
SEAN_06_partners-partner--4,SEAN_06_partners,partner,,4,NOS：荷兰国家媒体集团,NOS: Dutch National Media Group,NOS：荷兰国家媒体集团
SEAN_06_partners-partner--5,SEAN_06_partners,partner,,5,Royal IGC,Royal IGC,Royal IGC
SEAN_06_partners-partner--6,SEAN_06_partners,partner,,6,皇家音乐厅管弦乐团,Royal Concertgebouw Orchestra,皇家音乐厅管弦乐团
SEAN_06_partners-partner--7,SEAN_06_partners,partner,,7,Wageningen University,Wageningen University,Wageningen University
SEAN_06_partners-partner--8,SEAN_06_partners,partner,,8,North Sea Jazz,North Sea Jazz,North Sea Jazz
SEAN_06_partners-partner--9,SEAN_06_partners,partner,,9,Princess Christina Concours,Princess Christina Concours,Princess Christina Concours
SEAN_06_partners-partner--10,SEAN_06_partners,partner,,10,Stichting Grote Zangers,Stichting Grote Zangers,Stichting Grote Zangers
SEAN_06_partners-partner--11,SEAN_06_partners,partner,,11,Släpstiks,Släpstiks,Släpstiks
SEAN_06_partners-partner--12,SEAN_06_partners,partner,,12,Erasmus Trio,Erasmus Trio,Erasmus Trio
SEAN_06_partners-partner--13,SEAN_06_partners,partner,,13,Studio Vaan,Studio Vaan,Studio Vaan
SEAN_06_partners-partner--14,SEAN_06_partners,partner,,14,"Needs Co.,Ltd (JAPAN)","Needs Co.,Ltd (JAPAN)","Needs Co.,Ltd (JAPAN)"
SEAN_06_partners-partner--15,SEAN_06_partners,partner,,15,"Nexai Co.,Ltd (Japan)","Nexai Co.,Ltd (Japan)","Nexai Co.,Ltd (Japan)"
SEAN_06_partners-partner--16,SEAN_06_partners,partner,,16,"OWSJP Co.,Ltd (Japan)","OWSJP Co.,Ltd (Japan)","OWSJP Co.,Ltd (Japan)"
SEAN_06_partners-partner--17,SEAN_06_partners,partner,,17,Huawei,Huawei,Huawei
SEAN_06_partners-partner--18,SEAN_06_partners,partner,,18,Tencent,Tencent,Tencent
SEAN_06_partners-partner--19,SEAN_06_partners,partner,,19,MG Motor Europe,MG Motor Europe,MG Motor Europe
SEAN_06_partners-partner--20,SEAN_06_partners,partner,,20,中国工商银行,ICBC,中国工商银行
SEAN_06_partners-partner--21,SEAN_06_partners,partner,,21,中国银行,Bank of China,中国银行
SEAN_06_partners-partner--22,SEAN_06_partners,partner,,22,中国移动,China Mobile,中国移动
SEAN_06_partners-partner--23,SEAN_06_partners,partner,,23,MAX HRM,MAX HRM,MAX HRM
SEAN_06_partners-partner--24,SEAN_06_partners,partner,,24,Rituals,Rituals,Rituals
SEAN_06_partners-partner--25,SEAN_06_partners,partner,,25,中演,Zhongyan,中演
SEAN_06_partners-partner--26,SEAN_06_partners,partner,,26,上海国际艺术节,Shanghai International Arts Festival,上海国际艺术节
SEAN_06_partners-partner--27,SEAN_06_partners,partner,,27,Muziekgebouw ‘IJ,Muziekgebouw ‘IJ,Muziekgebouw ‘IJ
SEAN_06_partners-partner--28,SEAN_06_partners,partner,,28,Kasteel de Wittenburg,Kasteel de Wittenburg,Kasteel de Wittenburg
